ID,Reel ID
0027833,D1
0027834,D1
0027835,D1
0027836,D1
0027837,D1
0027838,D1
0027839,D1
0027840,D1
0027841,D1
0027842,D1
0027843,D1
No Pole Tag: 1,D1
0027845,D1
0027844,D1
0027846,D1
0027847,D1
0027848,D1
0027849,D1
0027850,D1
0027851,D1
0027852,D1
0027853,D1
0002901,D1
0027854,D1
0027855,D1
0027856,D1
0027857,D1
0027858,D1
0027859,D1
0027860,D1
0027861,D1
0027862,D2
0027863,D2
0027864,D2
0027865,D2
0027866,D2
0027867,D2
0027868,D2
0027869,D2
0027870,D2
0027871,D2
0027872,D2
0027873,D2
0027874,D2
0027875,D2
0027876,D2
0027877,D2
0027879,D2
0027880,D2
0027881,D2
0027882,D2
0027883,D2
0027884,D2
0027885,D2
0027886,D2
0027887,D2
0027888,D2
0027889,D2
0027890,D2
0027891,D2
0027892,D2
0027893,D3
0027894 ,D3
0027895,D3
0027896,D3
0027897,D3
0027898,D3
0027899,D3
0027900,D3
0027901,D3
0027902,D3
0027903,D3
0027904,D3
0027905,D3
0027906,D3
0027907,D3
0027908,D3
0027909,D3
0027910,D3
0027911,D3
0027912,D3
0027913,D3
0027914,D3
0027915,D3
0027916,D3
0027917,D3
0027918,D3
0027919,D3
0027920,D3
0027921,D3
UG Vault: 0019933,D3
