ID,Reel ID
0023316,A12
0023315,A12
0023314,A12
0023313,A12
0023312,A12
0023311,A12
0023310,A12
0023309,A12
0023307,A12
0023306,A12
0023305,A12
0023304,A12
0023331,A12
0023303,A12
0023302,A12
0023301,A12
0014900,A12
0014899,A12
0014898,A12
0014897,A12
0014896,A12
0014895,A12
0014894,A12
0014893,A12
0014892,A12
0014891,A12
0014890,A12
0014889,A12
0014888,A12
0014887,A12
0014886,A12
0014885,A12
0014884,A12
0014883,A10
0014882,A10
0014881,A10
0014880,A10
0014879,A10
0014878,A10
0014877,A10
0014876,A10
0014875,A10
0014874,A10
0014873,A10
0014872,A10
0014871,A10
0014870,A10
0014869,A10
0014868,A10
0014867,A10
0014866,A10
0014865,A10
0014864,A10
0014863,A10
0014861,A10
0014860,A10
0014859,A10
0031755,A10
NO POLE TAG,A10
0031756,A10
0031757,A10
0031758,A10
0031759,A10
0031760,A10
0031761,A10
0031762,A10
0031763,A10
0031764,A10
0031765,A10
0014862,A10
0031766,A10
0031767,A10
0031768,A10
0031769,A10
0031770,A10
0031771,A10
0031772,A9
0031775,A9
0031776,A9
0031777,A9
0031778,A9
0031779,A11
0031780,A11
0031781,A11
0031782,A11
0031783,A11
0031784,A11
0031785,A11
0031786,A11
0031787,A11
0002956,A11
0031788,A11
0031789,A11
0031790,A11
0031791/0002833,A13
0002834,A13
0031793,A13
0031794,A13
0031795,A13
0031796,A13
0031797,A13
0031798,A13
0031799,A13
0031800,A13
0032401,A13
0002643,A13
0033013,A13
0002642,A13
0033014,A13
